Wall time,Step,Value
1702905482.173734,1638400,7.231053444911595e-08
1702905506.6629794,1679360,7.231053444911595e-08
1702905632.8972738,1925120,7.231053444911595e-08
1702905708.326876,2088960,7.231053444911595e-08
1702905727.1627774,2129920,7.231053444911595e-08
1702905783.1394858,2252800,7.231053444911595e-08
1702905802.0811718,2293760,7.231053444911595e-08
1702905820.9349105,2334720,7.231053444911595e-08
1702905858.515948,2416640,7.231053444911595e-08
1702905877.4791083,2457600,7.231053444911595e-08
1702905933.8500242,2580480,7.231053444911595e-08
1702905952.679554,2621440,7.231053444911595e-08
1702906158.5474672,3072000,0.23734816908836365
1702906196.190898,3153920,0.23734816908836365
1702906327.330693,3440640,0.23734816908836365
1702906346.139203,3481600,0.23734816908836365
1702906364.9368718,3522560,0.23734816908836365
1702906402.4353712,3604480,0.23734816908836365
1702906458.4522958,3727360,0.23734816908836365
1702906514.5231886,3850240,0.23734816908836365
1702906570.7814128,3973120,0.23734816908836365
1702906589.6944003,4014080,0.23734816908836365
1702906608.3754354,4055040,0.23734816908836365
1702906627.126341,4096000,0.23734816908836365
1702906664.4459543,4177920,0.23734816908836365
1702906683.2804158,4218880,0.23734816908836365
1702906701.9465935,4259840,0.23734816908836365
1702906720.6234102,4300800,0.23734816908836365
1702906757.968425,4382720,0.23734816908836365
1702906776.6371174,4423680,0.23734816908836365
1702906888.6138058,4669440,2.9778318477724497e-08
1702906926.0023634,4751360,2.9778318477724497e-08
1702906944.516989,4792320,2.9778318477724497e-08
1702906982.1362605,4874240,2.9778318477724497e-08
1702907038.3099885,4997120,2.9778318477724497e-08
1702907113.2827303,5160960,2.9778318477724497e-08
1702907300.5961945,5570560,2.9778318477724497e-08
1702907319.3750372,5611520,2.9778318477724497e-08
1702907375.6496978,5734400,2.9778318477724497e-08
1702907432.0726092,5857280,2.9778318477724497e-08
1702907450.936474,5898240,2.9778318477724497e-08
1702907488.5969734,5980160,2.9778318477724497e-08
1702907619.6946783,6266880,5.9696094523818784e-18
1702907713.692891,6471680,5.9696094523818784e-18
1702907788.2993677,6635520,5.9696094523818784e-18
1702907807.0975223,6676480,5.9696094523818784e-18
1702907844.4075496,6758400,5.9696094523818784e-18
1702907881.9920793,6840320,5.9696094523818784e-18
1702907900.6390498,6881280,5.9696094523818784e-18
1702907994.0360858,7086080,5.9696094523818784e-18
1702908012.9500642,7127040,5.9696094523818784e-18
1702908143.78104,7413760,5.9696094523818784e-18
1702908181.477715,7495680,5.9696094523818784e-18
1702908200.0485854,7536640,5.9696094523818784e-18
1702908256.3788564,7659520,4.332230410687659e-17
1702908387.5379763,7946240,4.332230410687659e-17
1702908443.5927606,8069120,4.332230410687659e-17
1702908481.1494732,8151040,4.332230410687659e-17
1702908518.8500175,8232960,4.332230410687659e-17
1702908631.5950058,8478720,4.332230410687659e-17
1702908650.5283217,8519680,4.332230410687659e-17
1702908669.3961487,8560640,4.332230410687659e-17
1702908725.897449,8683520,4.332230410687659e-17
1702908744.4099374,8724480,4.332230410687659e-17
1702908763.2871387,8765440,4.332230410687659e-17
1702908838.6697984,8929280,4.332230410687659e-17
1702908894.8380468,9052160,4.332230410687659e-17
1702908913.6412582,9093120,4.332230410687659e-17
1702908932.4173908,9134080,4.332230410687659e-17
1702909007.7228756,9297920,7.575614526058696e-17
1702909026.4336789,9338880,7.575614526058696e-17
1702909045.3522289,9379840,7.575614526058696e-17
1702909176.7734287,9666560,7.575614526058696e-17
1702909233.0815687,9789440,7.575614526058696e-17
1702909251.9418619,9830400,7.575614526058696e-17
1702909270.6397939,9871360,7.575614526058696e-17
1702909289.4200916,9912320,7.575614526058696e-17
1702909326.6926515,9994240,7.575614526058696e-17
1702909364.2152963,10076160,7.575614526058696e-17
1702909401.978172,10158080,7.575614526058696e-17
1702909439.36319,10240000,7.575614526058696e-17
1702909476.992165,10321920,7.575614526058696e-17
1702909495.826685,10362880,7.575614526058696e-17
1702909551.7334104,10485760,7.575614526058696e-17
1702909570.4215496,10526720,7.575614526058696e-17
1702909589.207546,10567680,7.575614526058696e-17
1702909607.9262047,10608640,7.575614526058696e-17
1702909645.6030924,10690560,7.575614526058696e-17
1702909739.1577663,10895360,4.971476911557619e-17
1702909926.5148883,11304960,4.971476911557619e-17
1702909963.9616168,11386880,4.971476911557619e-17
1702910020.3116338,11509760,4.971476911557619e-17
1702910039.0722563,11550720,4.971476911557619e-17
1702910057.7983515,11591680,4.971476911557619e-17
1702910208.3588996,11919360,4.971476911557619e-17
1702910283.7084582,12083200,4.971476911557619e-17
1702910302.6852896,12124160,4.971476911557619e-17
1702910321.4379106,12165120,4.971476911557619e-17
1702910359.1585777,12247040,8.878420946805061e-16
1702910509.1771157,12574720,8.878420946805061e-16
1702910527.969123,12615680,8.878420946805061e-16
1702910584.2337503,12738560,8.878420946805061e-16
1702910621.8246763,12820480,8.878420946805061e-16
1702910659.4388647,12902400,8.878420946805061e-16
1702910697.1790404,12984320,8.878420946805061e-16
1702910734.452832,13066240,8.878420946805061e-16
1702910753.2730951,13107200,8.878420946805061e-16
1702910790.778763,13189120,8.878420946805061e-16
1702910828.1910532,13271040,8.878420946805061e-16
1702910846.8268452,13312000,8.878420946805061e-16
1702910884.4971876,13393920,8.878420946805061e-16
1702910978.091169,13598720,8.878420946805061e-16
1702910996.898328,13639680,8.878420946805061e-16
1702911015.4566114,13680640,8.878420946805061e-16
1702911034.3680115,13721600,8.878420946805061e-16
1702911184.5716624,14049280,5.215345377784786e-10
1702911221.9066846,14131200,5.215345377784786e-10
1702911240.8133929,14172160,5.215345377784786e-10
1702911297.3201706,14295040,5.215345377784786e-10
1702911372.4471292,14458880,5.215345377784786e-10
1702911410.410269,14540800,5.215345377784786e-10
1702911429.1680398,14581760,5.215345377784786e-10
1702911485.877211,14704640,5.215345377784786e-10
1702911523.445995,14786560,5.215345377784786e-10
1702911617.0357919,14991360,5.215345377784786e-10
1702911654.5525258,15073280,5.215345377784786e-10
1702911673.3445745,15114240,5.215345377784786e-10
1702911767.322207,15319040,4.237058703893126e-08
1702911786.1628873,15360000,4.237058703893126e-08
1702911823.6360054,15441920,4.237058703893126e-08
1702911879.9130332,15564800,4.237058703893126e-08
1702911917.5455773,15646720,4.237058703893126e-08
1702911936.3039212,15687680,4.237058703893126e-08
1702912011.6605387,15851520,4.237058703893126e-08
1702912049.0328135,15933440,4.237058703893126e-08
1702912086.344541,16015360,4.237058703893126e-08
1702912161.4164045,16179200,4.237058703893126e-08
1702912236.3041368,16343040,4.237058703893126e-08
1702912255.1117172,16384000,4.237058703893126e-08
1702912274.135909,16424960,4.237058703893126e-08
1702912292.7458527,16465920,4.237058703893126e-08
1702912311.2786138,16506880,4.237058703893126e-08
1702912330.220222,16547840,4.237058703893126e-08
1702912461.5331476,16834560,4.237058703893126e-08
1702912518.107084,16957440,1.4882669541194105e-09
1702912536.761051,16998400,1.4882669541194105e-09
1702912687.1132424,17326080,1.4882669541194105e-09
1702912762.4187315,17489920,1.4882669541194105e-09
1702912781.1813161,17530880,1.4882669541194105e-09
1702912799.877419,17571840,1.4882669541194105e-09
1702912818.7443037,17612800,1.4882669541194105e-09
1702912837.4621103,17653760,1.4882669541194105e-09
1702912893.8108506,17776640,1.4882669541194105e-09
1702912987.9140356,17981440,1.4882669541194105e-09
1702913025.3516536,18063360,1.4882669541194105e-09
1702913099.867913,18227200,1.4882669541194105e-09
1702913118.5794702,18268160,1.4882669541194105e-09
1702913193.550455,18432000,1.2043875585732167e-07
1702913212.326125,18472960,1.2043875585732167e-07
1702913231.1124513,18513920,1.2043875585732167e-07
1702913287.2860215,18636800,1.2043875585732167e-07
1702913343.491599,18759680,1.2043875585732167e-07
1702913362.0752425,18800640,1.2043875585732167e-07
1702913418.1375291,18923520,1.2043875585732167e-07
1702913436.7419786,18964480,1.2043875585732167e-07
1702913512.090597,19128320,1.2043875585732167e-07
1702913605.634989,19333120,1.2043875585732167e-07
1702913624.4288292,19374080,1.2043875585732167e-07
1702913643.0000253,19415040,1.2043875585732167e-07
1702913680.557146,19496960,1.2043875585732167e-07
1702913699.3451064,19537920,1.2043875585732167e-07
1702913718.2808328,19578880,1.2043875585732167e-07
1702913755.7689474,19660800,1.2043875585732167e-07
1702913774.4753237,19701760,1.2043875585732167e-07
